layer,pc1,pc2,dialect,correct_final
0,-0.027704155221177876,-0.006718966418961792,spa_Latn,1
0,-0.027065212093393996,-0.00554357303016511,spa_Latn,1
0,-0.024635727329388155,-0.004312706877326988,spa_Latn,1
0,-0.02662852271018991,-0.006485178413941145,spa_Latn,1
0,-0.025120122882785978,-0.007082334391783274,spa_Latn,1
0,-0.026652199503593738,-0.0067572105938861786,spa_Latn,1
0,-0.027468805719703466,-0.004641743223983901,spa_Latn,0
0,-0.026533845487959506,-0.00731611444349007,spa_Latn,0
0,-0.025989918096027784,-0.006016565082259503,spa_Latn,1
0,-0.026997617764436294,-0.004868891772764686,spa_Latn,0
0,-0.02734128640150761,-0.004889438781685411,spa_Latn,1
0,-0.027116434211777812,-0.004346781133766188,spa_Latn,1
0,-0.027146998330889877,-0.00582073851549456,spa_Latn,1
0,-0.02764454371506226,-0.006408416424938399,spa_Latn,0
0,-0.02660561479455247,-0.0033954231029672734,spa_Latn,0
0,-0.02860981893706621,-0.005317946295538474,spa_Latn,1
0,-0.02501628885274748,-0.004106444003770094,spa_Latn,0
0,-0.027739287882168992,-0.0055717409921284475,spa_Latn,1
0,-0.027204906955504288,-0.006014266432299264,spa_Latn,0
0,-0.024761792104272977,-0.004570650811472028,spa_Latn,0
0,-0.0269789834156356,-0.005157135915131254,spa_Latn,1
0,-0.0277866896926841,-0.007690627304286711,spa_Latn,1
0,-0.02862952451936174,-0.007093055118390497,spa_Latn,0
0,-0.02616351448552129,-0.004164631417340145,spa_Latn,1
0,-0.026818967954447943,-0.003187597861946538,spa_Latn,1
0,-0.026331521509714195,-0.004660856135087845,spa_Latn,0
0,-0.02734185662569518,-0.006153897476877597,spa_Latn,1
0,-0.026080855010737748,-0.004719995264238202,spa_Latn,0
0,-0.02710390445332355,-0.0036400897439533776,spa_Latn,0
0,-0.025372028798081925,-0.006359954133480253,spa_Latn,0
0,-0.02631193130455394,-0.005430956188605595,spa_Latn,1
0,-0.027066276671837166,-0.006132663915064938,spa_Latn,1
0,-0.02625046056694566,-0.00576466770932037,spa_Latn,1
0,-0.026437899264558324,-0.008064162618718704,spa_Latn,1
0,-0.02628928245655354,-0.008082813545949268,spa_Latn,0
0,-0.025912594153432136,-0.005325780564008262,spa_Latn,1
0,-0.02611550377506956,-0.004647355104120817,spa_Latn,0
0,-0.025070476840917413,-0.005022435458235165,spa_Latn,1
0,-0.02703211768213929,-0.004900286314813118,spa_Latn,0
0,-0.026836494695115877,-0.006288940664527997,spa_Latn,0
0,-0.02559125629208289,-0.005880777896460888,spa_Latn,0
0,-0.02600663239406363,-0.005017989533836654,spa_Latn,0
0,-0.028121141167130714,-0.006084755336502461,spa_Latn,1
0,-0.026057277404642695,-0.0074859928834246975,spa_Latn,1
0,-0.023969696613349536,-0.0028643408890789788,spa_Latn,1
0,-0.026618187047985045,-0.005606278900099528,spa_Latn,0
0,-0.02530710708809963,-0.006422989126060815,spa_Latn,1
0,-0.026569178105433803,-0.004312743731039499,spa_Latn,0
0,-0.026678390744969516,-0.005838255770717162,spa_Latn,0
0,-0.028707753124280894,-0.007441459986080177,spa_Latn,0
0,-0.025535010239189557,-0.005265392369393974,spa_Latn,1
0,-0.026452262362117073,-0.004394077032614488,spa_Latn,1
0,-0.02568265945785737,-0.006576384069843343,spa_Latn,0
0,-0.028512424591519932,-0.006344291040821817,spa_Latn,0
0,-0.026868157194477684,-0.004161484774962411,spa_Latn,0
0,-0.0268064176516647,-0.005499539151698642,spa_Latn,1
0,-0.028293076797436256,-0.007240143786991789,spa_Latn,1
0,-0.0268044611680284,-0.003171882349425523,spa_Latn,0
0,-0.027094947136790955,-0.007208291337158637,spa_Latn,1
0,-0.025580255020482574,-0.0049435718343575465,spa_Latn,1
0,0.02881338587305013,0.08850573024398908,hin_Deva,0
0,0.02672320492644607,0.08607030775367151,hin_Deva,1
0,0.029847324744159236,0.08745744912826584,hin_Deva,0
0,0.03338104388394191,0.09461624926546332,hin_Deva,0
0,0.018738394342436803,0.06421538209128168,hin_Deva,1
0,0.019668708229728618,0.07061096965912314,hin_Deva,1
0,0.02986521537097225,0.08575318170241035,hin_Deva,1
0,0.027085478666451692,0.0819389841128221,hin_Deva,0
0,0.030408087737242295,0.08477892092254198,hin_Deva,0
0,0.018422444135105555,0.06812402528521176,hin_Deva,0
0,0.020747502211650667,0.072886740453045,hin_Deva,0
0,0.03069068895247588,0.09111206684738825,hin_Deva,1
0,0.03185773114603278,0.09226732757665213,hin_Deva,0
0,0.03218826258412637,0.08872637023184908,hin_Deva,0
0,0.023343001803368974,0.0761443551035773,hin_Deva,1
0,0.023365945149017107,0.07657731828063992,hin_Deva,1
0,0.02611328710751578,0.08200081165623943,hin_Deva,1
0,0.018577438032777765,0.06490919456092939,hin_Deva,1
0,0.0275813820903896,0.0797682345983929,hin_Deva,0
0,0.032833280425938076,0.09600010023464835,hin_Deva,1
0,0.011213280332752968,0.05886604689205023,hin_Deva,1
0,0.022956652863583105,0.07363066320789032,hin_Deva,1
0,0.021729234031781532,0.06953378600516366,hin_Deva,1
0,0.019466615136472597,0.06990500866153045,hin_Deva,1
0,0.01831487229620049,0.0668495860975851,hin_Deva,1
0,0.02074599556672853,0.06899439537517724,hin_Deva,1
0,0.02822975979159096,0.08280429214088712,hin_Deva,1
0,0.012218999331802054,0.056421442346269925,hin_Deva,0
0,0.02422929383011081,0.08307848126258104,hin_Deva,1
0,0.01656520325688158,0.07065161691723318,hin_Deva,0
0,0.02171421317062391,0.07274252282081586,hin_Deva,0
0,0.021648189024757878,0.07604642233410847,hin_Deva,1
